term,timestamp,close,confirmed_at,retrospective
short,2019-01-14 00:00:00+00:00,3553.227143057,2019-01-21 00:00:00+00:00,True
short,2019-01-20 00:00:00+00:00,3735.953787486,2019-01-27 00:00:00+00:00,True
short,2019-01-30 00:00:00+00:00,3438.806393391,2019-02-06 00:00:00+00:00,True
short,2019-02-08 00:00:00+00:00,3382.947413684,2019-02-15 00:00:00+00:00,True
short,2019-02-11 00:00:00+00:00,3663.532766717,2019-02-18 00:00:00+00:00,True
short,2019-02-24 00:00:00+00:00,4123.668788587,2019-03-03 00:00:00+00:00,True
short,2019-03-05 00:00:00+00:00,3755.244533692,2019-03-12 00:00:00+00:00,True
short,2019-03-21 00:00:00+00:00,4075.319876766,2019-03-28 00:00:00+00:00,True
short,2019-03-26 00:00:00+00:00,3969.701717355,2019-04-02 00:00:00+00:00,True
short,2019-04-11 00:00:00+00:00,5334.16546243,2019-04-18 00:00:00+00:00,True
short,2019-04-24 00:00:00+00:00,5591.93356269,2019-05-01 00:00:00+00:00,True
short,2019-04-26 00:00:00+00:00,5241.366292456,2019-05-03 00:00:00+00:00,True
short,2019-05-28 00:00:00+00:00,8857.096555518998,2019-06-04 00:00:00+00:00,True
short,2019-06-10 00:00:00+00:00,7750.808728267,2019-06-17 00:00:00+00:00,True
short,2019-06-27 00:00:00+00:00,13112.782536123,2019-07-04 00:00:00+00:00,True
short,2019-07-02 00:00:00+00:00,10638.003271271,2019-07-09 00:00:00+00:00,True
short,2019-07-10 00:00:00+00:00,12545.445221221,2019-07-17 00:00:00+00:00,True
short,2019-07-17 00:00:00+00:00,9499.558669446,2019-07-24 00:00:00+00:00,True
short,2019-07-28 00:00:00+00:00,9464.99772889,2019-08-04 00:00:00+00:00,True
short,2019-08-09 00:00:00+00:00,12019.255358112,2019-08-16 00:00:00+00:00,True
short,2019-08-15 00:00:00+00:00,10010.249937915,2019-08-22 00:00:00+00:00,True
short,2019-08-30 00:00:00+00:00,9493.755389208,2019-09-06 00:00:00+00:00,True
short,2019-09-04 00:00:00+00:00,10603.095462993,2019-09-11 00:00:00+00:00,True
short,2019-09-11 00:00:00+00:00,10132.544804558,2019-09-18 00:00:00+00:00,True
short,2019-10-07 00:00:00+00:00,7876.455217631,2019-10-14 00:00:00+00:00,True
short,2019-10-10 00:00:00+00:00,8572.837276209,2019-10-17 00:00:00+00:00,True
short,2019-10-25 00:00:00+00:00,7440.037915254,2019-11-01 00:00:00+00:00,True
short,2019-10-28 00:00:00+00:00,9544.094411496,2019-11-04 00:00:00+00:00,True
short,2019-11-25 00:00:00+00:00,6932.313157281,2019-12-02 00:00:00+00:00,True
short,2019-11-30 00:00:00+00:00,7740.415549446999,2019-12-07 00:00:00+00:00,True
short,2019-12-18 00:00:00+00:00,6624.129257675,2019-12-25 00:00:00+00:00,True
short,2019-12-23 00:00:00+00:00,7482.961455839,2019-12-30 00:00:00+00:00,True
short,2020-01-03 00:00:00+00:00,6968.274896337,2020-01-10 00:00:00+00:00,True
short,2020-01-19 00:00:00+00:00,8929.544856857,2020-01-26 00:00:00+00:00,True
short,2020-01-26 00:00:00+00:00,8366.208771054,2020-02-02 00:00:00+00:00,True
short,2020-02-05 00:00:00+00:00,9187.070016251,2020-02-12 00:00:00+00:00,True
short,2020-02-13 00:00:00+00:00,10327.554589217,2020-02-20 00:00:00+00:00,True
short,2020-03-07 00:00:00+00:00,9129.266627707,2020-03-14 00:00:00+00:00,True
short,2020-03-13 00:00:00+00:00,4724.392684378,2020-03-20 00:00:00+00:00,True
short,2020-04-09 00:00:00+00:00,7352.328771067999,2020-04-16 00:00:00+00:00,True
short,2020-04-16 00:00:00+00:00,6637.791815543,2020-04-23 00:00:00+00:00,True
short,2020-05-08 00:00:00+00:00,9968.105282228002,2020-05-15 00:00:00+00:00,True
short,2020-05-12 00:00:00+00:00,8593.856494464,2020-05-19 00:00:00+00:00,True
short,2020-05-25 00:00:00+00:00,8791.793685124998,2020-06-01 00:00:00+00:00,True
short,2020-06-02 00:00:00+00:00,10177.770353698,2020-06-09 00:00:00+00:00,True
short,2020-06-11 00:00:00+00:00,9864.561413157,2020-06-18 00:00:00+00:00,True
short,2020-06-12 00:00:00+00:00,9314.378159997,2020-06-19 00:00:00+00:00,True
short,2020-06-23 00:00:00+00:00,9685.845286855,2020-06-30 00:00:00+00:00,True
short,2020-06-28 00:00:00+00:00,9014.22427198,2020-07-05 00:00:00+00:00,True
short,2020-07-09 00:00:00+00:00,9420.350154587,2020-07-16 00:00:00+00:00,True
short,2020-07-17 00:00:00+00:00,9137.239203353,2020-07-24 00:00:00+00:00,True
short,2020-08-02 00:00:00+00:00,11800.389870165,2020-08-09 00:00:00+00:00,True
short,2020-08-18 00:00:00+00:00,12285.936628884,2020-08-25 00:00:00+00:00,True
short,2020-09-02 00:00:00+00:00,11921.754916292,2020-09-09 00:00:00+00:00,True
short,2020-09-09 00:00:00+00:00,10112.206366256,2020-09-16 00:00:00+00:00,True
short,2020-09-20 00:00:00+00:00,11076.850892878,2020-09-27 00:00:00+00:00,True
short,2020-09-24 00:00:00+00:00,10231.051311501,2020-10-01 00:00:00+00:00,True
short,2020-09-30 00:00:00+00:00,10839.962683468,2020-10-07 00:00:00+00:00,True
short,2020-10-04 00:00:00+00:00,10541.32189207,2020-10-11 00:00:00+00:00,True
short,2020-11-27 00:00:00+00:00,17072.810341953,2020-12-04 00:00:00+00:00,True
short,2020-12-01 00:00:00+00:00,19721.874730214,2020-12-08 00:00:00+00:00,True
short,2020-12-12 00:00:00+00:00,18062.118986906,2020-12-19 00:00:00+00:00,True
short,2021-01-09 00:00:00+00:00,40703.290535401,2021-01-16 00:00:00+00:00,True
short,2021-01-13 00:00:00+00:00,33949.396834015,2021-01-20 00:00:00+00:00,True
short,2021-01-28 00:00:00+00:00,30305.343778842,2021-02-04 00:00:00+00:00,True
short,2021-02-22 00:00:00+00:00,57367.946141722,2021-03-01 00:00:00+00:00,True
short,2021-03-01 00:00:00+00:00,44986.744834586,2021-03-08 00:00:00+00:00,True
short,2021-03-14 00:00:00+00:00,61297.997385093,2021-03-21 00:00:00+00:00,True
short,2021-03-26 00:00:00+00:00,51412.192011042,2021-04-02 00:00:00+00:00,True
short,2021-04-03 00:00:00+00:00,58963.327596364,2021-04-10 00:00:00+00:00,True
short,2021-04-08 00:00:00+00:00,56073.471560786,2021-04-15 00:00:00+00:00,True
short,2021-04-14 00:00:00+00:00,63528.48,2021-04-21 00:00:00+00:00,True
short,2021-04-26 00:00:00+00:00,48987.681638512,2021-05-03 00:00:00+00:00,True
short,2021-05-05 00:00:00+00:00,53329.387643742,2021-05-12 00:00:00+00:00,True
short,2021-05-09 00:00:00+00:00,58711.172030754,2021-05-16 00:00:00+00:00,True
short,2021-05-30 00:00:00+00:00,34523.41,2021-06-06 00:00:00+00:00,True
short,2021-06-04 00:00:00+00:00,39152.71,2021-06-11 00:00:00+00:00,True
short,2021-06-09 00:00:00+00:00,33369.1380606844,2021-06-16 00:00:00+00:00,True
short,2021-06-15 00:00:00+00:00,40499.97,2021-06-22 00:00:00+00:00,True
short,2021-06-22 00:00:00+00:00,31606.39,2021-06-29 00:00:00+00:00,True
short,2021-06-30 00:00:00+00:00,35840.3864684777,2021-07-07 00:00:00+00:00,True
short,2021-07-21 00:00:00+00:00,29759.93,2021-07-28 00:00:00+00:00,True
short,2021-08-04 00:00:00+00:00,38255.05,2021-08-11 00:00:00+00:00,True
short,2021-08-24 00:00:00+00:00,49486.4032,2021-08-31 00:00:00+00:00,True
short,2021-08-31 00:00:00+00:00,47020.6765,2021-09-07 00:00:00+00:00,True
short,2021-09-07 00:00:00+00:00,52639.2443,2021-09-14 00:00:00+00:00,True
short,2021-09-11 00:00:00+00:00,44833.0831,2021-09-18 00:00:00+00:00,True
short,2021-09-19 00:00:00+00:00,48210.7774,2021-09-26 00:00:00+00:00,True
short,2021-09-22 00:00:00+00:00,40538.4344,2021-09-29 00:00:00+00:00,True
short,2021-10-21 00:00:00+00:00,65986.3029371861,2021-10-28 00:00:00+00:00,True
short,2021-10-28 00:00:00+00:00,58681.0152,2021-11-04 00:00:00+00:00,True
short,2021-11-06 00:00:00+00:00,61026.017991930494,2021-11-13 00:00:00+00:00,True
short,2021-11-09 00:00:00+00:00,67500.0247355689,2021-11-16 00:00:00+00:00,True
short,2021-11-27 00:00:00+00:00,53663.6015932085,2021-12-04 00:00:00+00:00,True
short,2021-12-18 00:00:00+00:00,46305.327151384896,2021-12-25 00:00:00+00:00,True
short,2021-12-27 00:00:00+00:00,50799.9788606619,2022-01-03 00:00:00+00:00,True
short,2022-01-08 00:00:00+00:00,41512.9242,2022-01-15 00:00:00+00:00,True
short,2022-01-13 00:00:00+00:00,43900.027,2022-01-20 00:00:00+00:00,True
short,2022-01-23 00:00:00+00:00,35015.9346328171,2022-01-30 00:00:00+00:00,True
short,2022-02-16 00:00:00+00:00,44602.5315,2022-02-23 00:00:00+00:00,True
short,2022-02-22 00:00:00+00:00,37003.1535579107,2022-03-01 00:00:00+00:00,True
short,2022-03-02 00:00:00+00:00,44359.8712,2022-03-09 00:00:00+00:00,True
short,2022-03-14 00:00:00+00:00,37824.3515325632,2022-03-21 00:00:00+00:00,True
short,2022-03-30 00:00:00+00:00,47498.665651329,2022-04-06 00:00:00+00:00,True
short,2022-04-12 00:00:00+00:00,39456.9330416916,2022-04-19 00:00:00+00:00,True
short,2022-04-20 00:00:00+00:00,41504.4185,2022-04-27 00:00:00+00:00,True
short,2022-05-19 00:00:00+00:00,28760.1539,2022-05-26 00:00:00+00:00,True
short,2022-05-28 00:00:00+00:00,28606.4744726168,2022-06-04 00:00:00+00:00,True
short,2022-06-01 00:00:00+00:00,31852.83438319,2022-06-08 00:00:00+00:00,True
short,2022-06-19 00:00:00+00:00,19007.5031,2022-06-26 00:00:00+00:00,True
short,2022-06-26 00:00:00+00:00,21499.9710371342,2022-07-03 00:00:00+00:00,True
short,2022-07-03 00:00:00+00:00,19246.509488426895,2022-07-10 00:00:00+00:00,True
short,2022-07-09 00:00:00+00:00,21801.0822054269,2022-07-16 00:00:00+00:00,True
short,2022-07-13 00:00:00+00:00,19313.2607632308,2022-07-20 00:00:00+00:00,True
short,2022-07-20 00:00:00+00:00,23407.3451,2022-07-27 00:00:00+00:00,True
